state,date,new_confirmed,new_confirmed_per100k,target_7d
Alabama,2020-03-01,0.0,0.0,0.0
Alabama,2020-03-02,0.0,0.0,0.0
Alabama,2020-03-03,0.0,0.0,0.0
Alabama,2020-03-04,0.0,0.0,0.0
Alabama,2020-03-05,0.0,0.0,0.0
Alabama,2020-03-06,0.0,0.0,0.0
Alabama,2020-03-07,0.0,0.0,0.0
Alabama,2020-03-08,0.0,0.0,0.0
Alabama,2020-03-09,0.0,0.0,0.0
Alabama,2020-03-10,0.0,0.0,0.008515069032516143
Alabama,2020-03-11,3.0,0.059605483227613,0.011353425376688184
Alabama,2020-03-12,1.0,0.0198684944092043,0.022706850753376386
Alabama,2020-03-13,4.0,0.0794739776368174,0.042575345162580734
Alabama,2020-03-14,7.0,0.1390794608644305,0.0794739776368174
Alabama,2020-03-15,13.0,0.2582904273196567,0.10218082839019381
Alabama,2020-03-16,8.0,0.1589479552736348,0.14475617355277456
Alabama,2020-03-17,15.0,0.2980274161380654,0.16462466796197894
Alabama,2020-03-18,10.0,0.1986849440920436,0.23842193291045227
Alabama,2020-03-19,27.0,0.5364493490485177,0.30370412882640946
Alabama,2020-03-20,27.0,0.5364493490485177,0.3803397501190549
Alabama,2020-03-21,34.0,0.6755288099129482,0.43143016431415177
Alabama,2020-03-22,31.0,0.6159233266853351,0.5336109927043456
Alabama,2020-03-23,44.0,0.8742137540049918,0.7010740170104965
Alabama,2020-03-24,74.0,1.4702685862811224,1.1665644574547132
Alabama,2020-03-25,174.0,3.4571180272015583,1.3794411832676168
Alabama,2020-03-26,102.0,2.0265864297388445,1.6150247598338971
Alabama,2020-03-27,110.0,2.1855343850124798,1.850608336400177
Alabama,2020-03-28,117.0,2.3246138458769097,1.9868494409204358
Alabama,2020-03-29,79.0,1.5696110583271443,2.205402879421684
Alabama,2020-03-30,121.0,2.4040878235137275,2.1713426032916194
Alabama,2020-03-31,62.0,1.2318466533706702,1.9953645099529518
Alabama,2020-04-01,112.0,2.225271373830888,2.262170006305125
Alabama,2020-04-02,196.0,3.894224904204055,2.6169645493266316
Alabama,2020-04-03,235.0,4.669096186163024,2.6283179747033194
Alabama,2020-04-04,121.0,2.4040878235137275,2.9093152527763526
Alabama,2020-04-05,178.0,3.536592004838376,3.0597481390174712
Alabama,2020-04-06,174.0,3.4571180272015583,3.533753648494204
Alabama,2020-04-07,229.0,4.5498852197077975,4.084394779263582
Alabama,2020-04-08,306.0,6.0797592892165335,4.493118092824356
Alabama,2020-04-09,340.0,6.755288099129482,4.274564654323108
Alabama,2020-04-10,158.0,3.1392221166542886,4.5952989212145505
Alabama,2020-04-11,234.0,4.649227691753819,5.001183878431154
Alabama,2020-04-12,321.0,6.377786705354599,5.083496212412143
Alabama,2020-04-13,203.0,4.033304365068485,4.918871544450164
Alabama,2020-04-14,171.0,3.3975125439739453,4.8053372906832825
Alabama,2020-04-15,266.0,5.28501951284836,4.28875643604397
Alabama,2020-04-16,158.0,3.1392221166542886,4.101424917328614
Alabama,2020-04-17,92.0,1.827901485646801,4.092909848296098
Alabama,2020-04-18,231.0,4.589622208526207,3.721085167209559
Alabama,2020-04-19,190.0,3.775013937748828,3.669994753014462
Alabama,2020-04-20,185.0,3.675671465702806,3.8686796971065056
Alabama,2020-04-21,241.0,4.78830715261825,3.9311235366782915
Alabama,2020-04-22,288.0,5.722126389850856,4.070202997542721
Alabama,2020-04-23,207.0,4.112778342705302,4.356876988304099
Alabama,2020-04-24,193.0,3.834619420976441,4.217797527439668
Alabama,2020-04-25,182.0,3.616065982475193,4.249019447225561
Alabama,2020-04-26,201.0,3.993567376250076,4.138323549802851
Alabama,2020-04-27,146.0,2.900800183743836,4.019112583347624
Alabama,2020-04-28,199.0,3.953830387431667,3.6529646149494295
Alabama,2020-04-29,159.0,3.159090611063493,3.655802971293602
Alabama,2020-04-30,208.0,4.132646837114507,3.826104351943925
Alabama,2020-05-01,253.0,5.026729085528703,4.047496146789345
Alabama,2020-05-02,260.0,5.165808546393134,4.263211228946421
Alabama,2020-05-03,277.0,5.503572951349607,4.4902797364801845
Alabama,2020-05-04,226.0,4.4902797364801845,4.8252057850924865
Alabama,2020-05-05,317.0,6.298312727717781,5.080657856067972
Alabama,2020-05-06,249.0,4.947255107891885,5.472351031563714
