state,date,new_confirmed,new_confirmed_per100k
Alabama,2020-01-22,0.0,0.0
Alabama,2020-01-23,0.0,0.0
Alabama,2020-01-24,0.0,0.0
Alabama,2020-01-25,0.0,0.0
Alabama,2020-01-26,0.0,0.0
Alabama,2020-01-27,0.0,0.0
Alabama,2020-01-28,0.0,0.0
Alabama,2020-01-29,0.0,0.0
Alabama,2020-01-30,0.0,0.0
Alabama,2020-01-31,0.0,0.0
Alabama,2020-02-01,0.0,0.0
Alabama,2020-02-02,0.0,0.0
Alabama,2020-02-03,0.0,0.0
Alabama,2020-02-04,0.0,0.0
Alabama,2020-02-05,0.0,0.0
Alabama,2020-02-06,0.0,0.0
Alabama,2020-02-07,0.0,0.0
Alabama,2020-02-08,0.0,0.0
Alabama,2020-02-09,0.0,0.0
Alabama,2020-02-10,0.0,0.0
Alabama,2020-02-11,0.0,0.0
Alabama,2020-02-12,0.0,0.0
Alabama,2020-02-13,0.0,0.0
Alabama,2020-02-14,0.0,0.0
Alabama,2020-02-15,0.0,0.0
Alabama,2020-02-16,0.0,0.0
Alabama,2020-02-17,0.0,0.0
Alabama,2020-02-18,0.0,0.0
Alabama,2020-02-19,0.0,0.0
Alabama,2020-02-20,0.0,0.0
Alabama,2020-02-21,0.0,0.0
Alabama,2020-02-22,0.0,0.0
Alabama,2020-02-23,0.0,0.0
Alabama,2020-02-24,0.0,0.0
Alabama,2020-02-25,0.0,0.0
Alabama,2020-02-26,0.0,0.0
Alabama,2020-02-27,0.0,0.0
Alabama,2020-02-28,0.0,0.0
Alabama,2020-02-29,0.0,0.0
Alabama,2020-03-01,0.0,0.0
Alabama,2020-03-02,0.0,0.0
Alabama,2020-03-03,0.0,0.0
Alabama,2020-03-04,0.0,0.0
Alabama,2020-03-05,0.0,0.0
Alabama,2020-03-06,0.0,0.0
Alabama,2020-03-07,0.0,0.0
Alabama,2020-03-08,0.0,0.0
Alabama,2020-03-09,0.0,0.0
Alabama,2020-03-10,0.0,0.0
Alabama,2020-03-11,3.0,0.059605483227613075
Alabama,2020-03-12,1.0,0.01986849440920436
Alabama,2020-03-13,4.0,0.07947397763681743
Alabama,2020-03-14,7.0,0.13907946086443052
Alabama,2020-03-15,13.0,0.2582904273196567
Alabama,2020-03-16,8.0,0.15894795527363487
Alabama,2020-03-17,15.0,0.2980274161380654
Alabama,2020-03-18,10.0,0.1986849440920436
Alabama,2020-03-19,27.0,0.5364493490485177
Alabama,2020-03-20,27.0,0.5364493490485177
Alabama,2020-03-21,34.0,0.6755288099129482
Alabama,2020-03-22,31.0,0.6159233266853351
Alabama,2020-03-23,44.0,0.8742137540049918
Alabama,2020-03-24,74.0,1.4702685862811224
Alabama,2020-03-25,174.0,3.4571180272015583
Alabama,2020-03-26,102.0,2.0265864297388445
Alabama,2020-03-27,110.0,2.1855343850124793
Alabama,2020-03-28,117.0,2.3246138458769097
Alabama,2020-03-29,79.0,1.5696110583271443
Alabama,2020-03-30,121.0,2.4040878235137275
Alabama,2020-03-31,62.0,1.2318466533706702
Alabama,2020-04-01,112.0,2.2252713738308882
Alabama,2020-04-02,196.0,3.8942249042040546
Alabama,2020-04-03,235.0,4.669096186163024
Alabama,2020-04-04,121.0,2.4040878235137275
Alabama,2020-04-05,178.0,3.5365920048383757
Alabama,2020-04-06,174.0,3.4571180272015583
Alabama,2020-04-07,229.0,4.5498852197077975
Alabama,2020-04-08,306.0,6.0797592892165335
Alabama,2020-04-09,340.0,6.755288099129482
Alabama,2020-04-10,158.0,3.1392221166542886
Alabama,2020-04-11,234.0,4.649227691753819
Alabama,2020-04-12,321.0,6.377786705354599
Alabama,2020-04-13,203.0,4.033304365068485
Alabama,2020-04-14,171.0,3.3975125439739453
Alabama,2020-04-15,266.0,5.2850195128483595
Alabama,2020-04-16,158.0,3.1392221166542886
Alabama,2020-04-17,92.0,1.827901485646801
Alabama,2020-04-18,231.0,4.589622208526207
Alabama,2020-04-19,190.0,3.775013937748828
Alabama,2020-04-20,185.0,3.675671465702806
Alabama,2020-04-21,241.0,4.78830715261825
